Job:,R083B0T(AR0830CSSC11SMD20)_R_08_01,,,,Date:1/4/2024 1:18:58 PM
Lot:,23C02036-001,,,,System:OFFLINE45
Wafer ID:,CEJ292,,,,Ver:5.9.2-1035


2,12,2480.15315481,1370.20947378,20.358144,4.512,Good
3,15,526.92441494,5216.00545368,11.451456,4.512,Good
4,20,1525.44538752,4143.34835103,30.537216,5.64,Good
11,25,3147.04332015,1202.02414594,21.630528,4.512,Good
14,4,2236.89479986,1304.73102721,22.902912,4.512,Good
16,3,920.27592187,2879.13109087,17.813376,4.512,Good
16,15,1141.55348147,5880.80933989,67.436352,10.152,F06 Incoming others
17,15,2297.04333815,5884.56846359,57.25728,9.024,F38 White Foreign material
17,15,2903.39625855,5883.63457351,111.969792,12.408,F06 Incoming others
21,13,2189.23859861,3083.7754103,29.264832,7.896,F06 Incoming others
21,13,2231.0799288,3082.55346224,50.89536,13.536,F06 Incoming others
21,13,2240.94147377,3080.9935688,11.451456,4.512,F06 Incoming others
21,13,2347.98928352,3088.17355209,31.8096,9.024,F06 Incoming others
21,13,2360.56973293,3073.27764388,10.179072,4.512,F06 Incoming others
21,13,2375.82330659,3084.30917634,16.540992,3.384,F06 Incoming others
23,11,1432.29381915,2498.46789413,24.175296,5.64,F06 Incoming others
24,17,3366.60841368,5467.00123795,16.540992,3.384,F33 Black Foreign material
24,22,473.59500719,1937.44996701,13.996224,4.512,Good
29,14,1858.89119548,4853.65704287,24.175296,5.64,Good
29,21,2548.90195663,5217.35837016,20.358144,4.512,Good
31,17,436.7892228,1202.50135488,10.179072,3.384,Good
31,20,1658.15997691,1475.30204775,257.021568,18.048,F06 Incoming others
32,22,2737.00421863,75.58252967,249.387264,59.784,F13 Pad area damage
32,22,2755.79584832,199.88754889,211.215744,36.096,F13 Pad area damage
32,22,2759.17959994,221.88193545,81.432576,22.56,F13 Pad area damage
32,22,2778.78265826,77.90339276,108.15264,13.536,F13 Pad area damage
34,7,3178.04222799,4735.46504916,17.813376,3.384,Good
36,3,3206.91899353,896.31424721,36.899136,6.768,F06 Incoming others
41,9,588.97971272,2357.88846518,13.996224,3.384,Good
