[Wafer Information]
Wafer Number,25
Wafer ID,A01-Q332403-404
Job Name,X2L3QBKL_R_08_06
Model Name,
Lot Number,24101990-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 01:34
End Time,02/02/2024 01:35
Inspection Time,0:01:13
Photo Time,0:00:00
Data Output Time,02/02/2024 01:34

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F13 Pad area damage,F06 Incoming others,F29 Silicon powder
25,A01-Q332403-404,5518,5511,99.873142,7,7,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,20,50,20.182428,20.182428,109.561752,1
22,6,50,11.532816,17.299224,46.131264,63
27,41,50,17.299224,20.182428,89.379324,2
33,9,50,17.299224,8.649612,43.24806,4
34,13,50,11.532816,11.532816,40.364856,63
58,64,50,40.364856,31.715244,331.56846,3
85,14,50,11.532816,14.41602,46.131264,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F13 Pad area damage,F06 Incoming others,F29 Silicon powder
25,A01-Q332403-404,5518,5511,99.873142,7,7,2,3,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,20,50,20.182428,20.182428,109.561752,1
22,6,50,11.532816,17.299224,46.131264,63
27,41,50,17.299224,20.182428,89.379324,2
33,9,50,17.299224,8.649612,43.24806,4
34,13,50,11.532816,11.532816,40.364856,63
58,64,50,40.364856,31.715244,331.56846,3
85,14,50,11.532816,14.41602,46.131264,1

